provider,status,score,max,universe,blocked_reason
hermes-default,fail,16,20,launch_framing_correction,
hermes-default,fail,16,20,product_rename_supersession,
hermes-default,fail,20,20,goals_missions_boundary,
hermes-default,fail,20,20,sandbox_recovery,
hermes-default,fail,16,20,launch_claim_safety,
ingrain,pass,20,20,launch_framing_correction,
ingrain,pass,20,20,product_rename_supersession,
ingrain,pass,20,20,goals_missions_boundary,
ingrain,pass,20,20,sandbox_recovery,
ingrain,pass,20,20,launch_claim_safety,
hindsight,fail,20,20,launch_framing_correction,
hindsight,fail,6,20,product_rename_supersession,
hindsight,fail,6,20,goals_missions_boundary,
hindsight,fail,15,20,sandbox_recovery,
hindsight,fail,15,20,launch_claim_safety,
openviking,fail,6,20,launch_framing_correction,
openviking,fail,6,20,product_rename_supersession,
openviking,fail,6,20,goals_missions_boundary,
openviking,fail,6,20,sandbox_recovery,
openviking,fail,6,20,launch_claim_safety,
